id,user id,product,quantity
1,74,"Champagne - Brights, Dry",6
2,83,Cheese - Roquefort Pappillon,9
3,54,Tequila Rose Cream Liquor,1
4,90,Rye Special Old,6
5,2,Bread Bowl Plain,2
6,49,Water - Spring Water 500ml,4
7,1,Chinese Foods - Pepper Beef,9
8,27,Grapes - Red,3
9,96,Food Colouring - Blue,9
10,64,"Pepper - Green, Chili",4
11,18,Cheese Cloth No 100,5
12,55,Coffee - Egg Nog Capuccino,3
13,76,Meldea Green Tea Liquor,8
14,17,Pastry - Choclate Baked,3
15,31,Compound - Mocha,10
16,33,Wine - Pinot Grigio Collavini,8
17,74,Wine - Gewurztraminer Pierre,8
18,20,"Nut - Pecan, Pieces",4
19,34,Cheese - Le Cru Du Clocher,4
20,56,Vinegar - Balsamic,3
21,78,"Lobster - Tail, 3 - 4 Oz",5
22,63,"Cheese - Havarti, Salsa",8
23,3,Lettuce - Romaine,10
24,87,Neckerchief Blck,5
25,33,"Orange - Canned, Mandarin",4
26,16,Wine - Pinot Noir Mondavi Coastal,5
27,52,"Cheese - Brie,danish",8
28,68,Glaze - Clear,1
29,90,"Wine - White, Riesling, Henry Of",10
30,60,Chips - Potato Jalapeno,9
31,57,Trueblue - Blueberry Cranberry,6
32,52,Veal - Bones,4
33,23,Cumin - Ground,9
34,20,"Mushroom - Chantrelle, Fresh",8
35,50,Cocoa Feuilletine,5
36,53,Bread - Italian Sesame Poly,5
37,36,Lid - 16 Oz And 32 Oz,5
38,64,Rhubarb,10
39,70,Dc - Sakura Fu,1
40,71,"Wine - Red, Cabernet Sauvignon",5
41,16,"Tortillas - Flour, 12",3
42,94,Spic And Span All Purpose,8
43,3,Sun - Dried Tomatoes,3
44,5,Tuna - Fresh,3
45,21,Pork - Inside,7
46,21,Onion - Dried,8
47,22,Wine - Pinot Noir Pond Haddock,1
48,25,Soup - Campbells Pasta Fagioli,10
49,87,Sour Puss Raspberry,1
50,73,Cheese - Ermite Bleu,1
51,99,Squash - Guords,5
52,46,"Veal - Brisket, Provimi, Bone - In",6
53,65,"Chocolate - Milk, Callets",7
54,17,Waffle Stix,8
55,54,Longos - Greek Salad,8
56,60,Sproutsmustard Cress,8
57,6,Cardamon Ground,3
58,46,Plate Pie Foil,9
59,63,Bread Base - Goodhearth,3
60,21,Soup - Campbellschix Stew,6
61,72,Duck - Whole,9
62,68,Zucchini - Green,2
63,52,"Sauce - Bernaise, Mix",9
64,67,"Extract - Vanilla,artificial",3
65,95,"Orange - Canned, Mandarin",2
66,77,"Wine - White, Riesling, Semi - Dry",1
67,73,Cookies - Englishbay Wht,6
68,36,"Lobster - Baby, Boiled",5
69,95,"Turkey - Breast, Double",2
70,69,Grapes - Red,10
71,19,Water - Evian 355 Ml,3
72,41,Ecolab Digiclean Mild Fm,2
73,29,Lettuce - Lolla Rosa,1
74,19,Wine - Black Tower Qr,9
75,58,Corn - Mini,7
76,65,Cocktail Napkin Blue,6
77,32,Kippers - Smoked,4
78,83,Lime Cordial - Roses,3
79,38,Cheese - Bocconcini,7
80,15,Flower - Carnations,10
81,57,Wiberg Cure,4
82,16,Chicken Breast Wing On,8
83,22,Ecolab - Power Fusion,6
84,2,Hold Up Tool Storage Rack,4
85,63,Chocolate - Semi Sweet,5
86,36,Sausage - Breakfast,5
87,44,Cheese - La Sauvagine,8
88,26,Sesame Seed Black,7
89,54,Nestea - Iced Tea,3
90,99,"Tomatoes - Cherry, Yellow",10
91,65,Coriander - Ground,2
92,97,"Nut - Walnut, Pieces",3
